20:	the
13:	in
6:	i
4:	far
4:	from
4:	you
4:	myself
4:	we're
4:	i'm
4:	times
4:	now
4:	shallow
3:	sha-ha-sha-ha-ha-low
3:	for
2:	through
2:	bad
2:	tell
2:	do
2:	good
2:	crash
2:	find
2:	me
2:	they
2:	us
2:	fear
2:	all
2:	surface
2:	need
2:	it
2:	longing
2:	never
2:	as
2:	ground
2:	sha-sha-la-la-low
2:	hurt
2:	deep
2:	and
2:	end
2:	where
2:	dive
2:	can't
2:	or
2:	more
2:	change
2:	somethin'
2:	off
2:	i'll
2:	meet
2:	watch
1:	happy
1:	searchin'
1:	ooo
1:	that
1:	else
1:	fallin'
1:	void
1:	keepin'
1:	this
1:	is
1:	girl
1:	fill
1:	something
1:	aren't
1:	ouo
1:	boy
1:	haaaa
1:	world
1:	modern
1:	are
1:	you're
1:	hard
1:	so
1:	sha-ha-sha-ha-low
1:	falling
1:	hardcore
1:	tired
1:	ooou
1:	aahaaa
1:	oooo
1:	tryin'
1:	there
1:	to
1:	ain't
1:	ooooo
